Code Tiers;Nom;CP;Ville;EAN;Ref;Désignation;Famille;sous-famille;Marque;Colis;Qte;BLqte;PUB;R1;R2;RQ;Montant;Code TVA;Code TPF;Taxe Soda;EcoTaxe;Prix Net
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3177890001107;PAP002                   ;ROQUEFORT PART 100G                                                             ;05      ;FROAFBRE;PAPILL  ;     1;       6,000;       6,000;       2,930;  8,00;  0,00;  0,00;        16,20;1;0;      0,0000;   0,0000;       2,700
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3259011105977;SOY053                   ;TOFOU SOYEUX 2X120G                                                             ;05      ;PREVT   ;SOY     ;     1;       3,000;       3,000;       1,730;  8,00;  0,00;  0,00;         4,77;1;0;      0,0000;   0,0000;       1,590
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3259011169436;SOY242                   ;FALAFELS X15                                                                    ;05      ;PRECE   ;SOY     ;     1;       6,000;       6,000;       3,020;  8,00;  0,00;  0,00;        16,68;1;0;      0,0000;   0,0000;       2,780
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3259011240036;ESC064                   ;GALETTES GARNIES CHEVRE MIEL ET THYM 2X85G                                      ;05      ;PREESC  ;CEREAL  ;     1;       6,000;       6,000;       2,870;  8,00;  0,00;  0,00;        15,84;1;0;      0,0000;   0,0000;       2,640
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3273220140727;TRA072                   ;DESSERT BREBIS CHOCOLAT 125G                                                    ;05      ;DESSEBRE;LABERGER;     6;      48,000;      48,000;       0,980;  8,00;  0,00;  0,00;        43,20;1;0;      0,0000;   0,0000;       0,900
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3273220141168;TRA012                   ;FROMAGE BLANC DE CHEVRE 400G                                                    ;05      ;FROFRCHE;LACHEVRE;     1;       6,000;       6,000;       2,660;  8,00;  0,00;  0,00;        14,70;1;0;      0,0000;   0,0000;       2,450
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3273220141861;TRA168                   ;FROMAGE DE BREBIS AFFINE 140G                                                   ;05      ;FROAFBRE;LABERGER;     4;      16,000;      16,000;       3,170;  8,00;  0,00;  0,00;        46,72;1;0;      0,0000;   0,0000;       2,920
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3273220141885;TRA029                   ;FROMAGE DE CHEVRE AFFINE 140G                                                   ;05      ;FROFRCHE;LACHEVRE;     5;      20,000;      20,000;       2,970;  8,00;  0,00;  0,00;        54,60;1;0;      0,0000;   0,0000;       2,730
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3273220182574;TRA182                   ;SOJADE A LA GRECQUE NATURE 400G                                                 ;05      ;DESSOJAD;SOJADE  ;     1;       6,000;       6,000;       1,790;  8,00;  0,00;  0,00;         9,90;1;0;      0,0000;   0,0000;       1,650
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3273220183328;TRA062                   ;SOJADE MYRTILLE 400G                                                            ;05      ;DESSOJAD;SOJADE  ;     2;      12,000;      12,000;       2,360;  8,00;  0,00;  0,00;        26,04;1;0;      0,0000;   0,0000;       2,170
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3273220184981;TRA097                   ;SOJADE VANILLE 400G                                                             ;05      ;DESSOJAD;SOJADE  ;     1;       4,000;       4,000;       2,360;  8,00;  0,00;  0,00;         8,68;1;0;      0,0000;   0,0000;       2,170
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3273227682626;TRA206                   ;SO SOJA A LA GRECQUE FRAMBOISE 400GR                                            ;05      ;DESSOJAD;SOJADE  ;     1;       6,000;       6,000;       2,480;  8,00;  0,00;  0,00;        13,68;1;0;      0,0000;   0,0000;       2,280
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3335265220021;ROU106                   ;BRIE POINTE 200G                                                                ;05      ;FROAFVAC;R BIO   ;     1;       3,000;       3,000;       3,230;  8,00;  0,00;  0,00;         8,91;1;0;      0,0000;   0,0000;       2,970
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3335266002404;ROU010                   ;EMMENTAL PORTION 240G LA PIECE                                                  ;05      ;FROAFVAC;R BIO   ;     2;       6,000;       6,000;       4,010;  8,00;  0,00;  0,00;        22,14;1;0;      0,0000;   0,0000;       3,690
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3335266102005;ROU108                   ;EMMENTAL RAPE 200G                                                              ;05      ;FROAFVAC;ROUSSE  ;    10;      30,000;      30,000;       3,310;  8,00;  0,00;  0,00;        91,50;1;0;      0,0000;   0,0000;       3,050
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3438860001139;GAB019                   ;YAOURT NATURE DEMI-ECREME 500G                                                  ;05      ;YAOURVAC;GABORI  ;     1;       3,000;       3,000;       1,550;  8,00;  0,00;  0,00;         4,29;1;0;      0,0000;   0,0000;       1,430
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3438860001160;GAB002                   ;YAOURT NATURE 1/2 ECREME 4X125G                                                 ;05      ;YAOURVAC;GABORI  ;     1;       3,000;       3,000;       1,740;  8,00;  0,00;  0,00;         4,80;1;0;      0,0000;   0,0000;       1,600
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3438860001177;GAB004                   ;YAOURT ENTIER 4X125G                                                            ;05      ;YAOURVAC;GABORI  ;     1;       3,000;       3,000;       1,940;  8,00;  0,00;  0,00;         5,34;1;0;      0,0000;   0,0000;       1,780
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3438860001306;GAB065                   ;YAOURTS MYRTILLE 4X125G                                                         ;05      ;YAOURVAC;GABORI  ;     2;       6,000;       6,000;       2,530;  8,00;  0,00;  0,00;        13,98;1;0;      0,0000;   0,0000;       2,330
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3438860002228;GAB051                   ;YAOURTS SUR LIT DE FRUITS 1/2  ECREME 4X125G                                    ;05      ;YAOURVAC;GABORI  ;     2;       6,000;       6,000;       2,530;  8,00;  0,00;  0,00;        13,98;1;0;      0,0000;   0,0000;       2,330
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3438860004048;GAB073                   ;YAOURT AUX FRUITS FRAISE FRAMBOISE MYRTILLE ABRICOT 4X125G                      ;05      ;YAOURVAC;GABORI  ;     2;       6,000;       6,000;       2,470;  8,00;  0,00;  0,00;        13,62;1;0;      0,0000;   0,0000;       2,270
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3440775770000;CHE002                   ;CROTTIN 2X60G                                                                   ;05      ;FROAFCHE;CHENE   ;     1;       6,000;       6,000;       3,990;  8,00;  0,00;  0,00;        22,02;1;0;      0,0000;   0,0000;       3,670
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3444940000404;MER001                   ;FILETS DE HARENGS DOUX MSC 200G                                                 ;05      ;POISSON ;NATOCE  ;     2;      10,000;      10,000;       2,660;  8,00;  0,00;  0,00;        24,50;1;0;      0,0000;   0,0000;       2,450
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3483460010258;TOF000                   ;TOFU NATURE 2X125G                                                              ;05      ;PREVT   ;TOFOUL  ;     1;       6,000;       6,000;       2,230;  8,00;  0,00;  0,00;        12,30;1;0;      0,0000;   0,0000;       2,050
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3531150222020;ARM023                   ;PATE FEUILLETEE PUR BEURRE prête à dérouler 250G                                ;05      ;PANPPRET;DELICE  ;     2;      12,000;      12,000;       2,240;  8,00; 10,00;  0,00;        22,20;1;0;      0,0000;   0,0000;       1,850
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3531150222044;ARM024                   ;PATE BRISEE PUR BEURRE  prête à dérouler  250G                                  ;05      ;PANPPRET;DELICE  ;     1;       6,000;       6,000;       2,240;  8,00;  0,00;  0,00;        12,36;1;0;      0,0000;   0,0000;       2,060
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3553070011713;BDL003                   ;L ENCALAT BREBIS 240G                                                           ;05      ;FROAFBRE;BERGERS ;     3;      12,000;      12,000;       5,790;  8,00;  6,00;  0,00;        60,12;1;0;      0,0000;   0,0000;       5,010
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3562562200528;ARM034                   ;CREPES DE SARRASIN DIAM 290 360G                                                ;05      ;BISCREPE;DELICE  ;     1;       6,000;       6,000;       3,230;  8,00;  0,00;  0,00;        17,82;1;0;      0,0000;   0,0000;       2,970
