Code Tiers;Nom;CP;Ville;EAN;Ref;Désignation;Famille;sous-famille;Marque;Colis;Qte;BLqte;PUB;R1;R2;RQ;Montant;Code TVA;Code TPF;Taxe Soda;EcoTaxe;Prix Net
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999108808;LEG598                   ;AIL NOIR EPLUCHé ESPAGNE, 60G, LE POT INDIVIDUEL                                ;01      ;1LEG    ;AIL     ;     1;       1,000;       1,000;       3,950;  0,00;  0,00;  0,00;         3,95;1;2;      0,0000;   0,0000;       3,950
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999105357;LEG698                   ;AROMATE BOTTE CIBOULETTE, LA BOTTE                                              ;01      ;1LEG    ;AROMATIQ;     1;      10,000;      10,000;       1,130;  0,00;  0,00;  0,00;        11,30;1;1;      0,0000;   0,0000;       1,130
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990000508;LEG044                   ;AROMATE BOTTE PERSIL PLAT, LA BOTTE                                             ;01      ;1LEG    ;AROMATIQ;     1;      15,000;      15,000;       0,980;  0,00;  0,00;  0,00;        14,70;1;1;      0,0000;   0,0000;       0,980
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999107504;LEG225                   ;ARTICHAUT VIOLET *VRAC* FRANCE, LE KG                                           ;01      ;1LEG    ;ARTICHAU;     4;      20,000;      20,000;       4,590;  0,00;  0,00;  0,00;        91,80;1;1;      0,0000;   0,0000;       4,590
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999109492;LEG343                   ;BETTERAVE CUITE, 12x500G, LE SACHET                                             ;01      ;1LEG    ;BETTERAV;     1;      12,000;      12,000;       1,050;  0,00;  0,00;  0,00;        12,60;1;1;      0,0000;   0,0000;       1,050
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999103926;LEG574                   ;BETTERAVE JAUNE FRANCE, LE KG                                                   ;01      ;1LEG    ;BETTERAV;     1;       5,000;       5,000;       1,990;  0,00;  0,00;  0,00;         9,95;1;1;      0,0000;   0,0000;       1,990
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990003794;LEG177                   ;BLETTE PIED FRANCE, LE KG                                                       ;01      ;1LEG    ;BLETTE  ;     1;       6,000;       6,000;       2,320;  0,00;  0,00;  0,00;        13,92;1;1;      0,0000;   0,0000;       2,320
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999111099;LEG774                   ;CAROTTE BOTTE MINI FRANCE, LA BOTTE X10                                         ;01      ;1LEG    ;CAROTTE ;     1;      10,000;      10,000;       2,000;  0,00;  0,00;  0,00;        20,00;1;1;      0,0000;   0,0000;       2,000
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990001084;LEG102                   ;CAROTTE LAVEE FRANCE, CAL 20/40, LE KG                                          ;01      ;1LEG    ;CAROTTE ;     1;      12,000;      12,000;       1,300;  0,00;  0,00;  0,00;        15,60;1;1;      0,0000;   0,0000;       1,300
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990001642;LEG158                   ;CELERI BRANCHE FRANCE, LE KG                                                    ;01      ;1LEG    ;CELERI  ;     1;       7,000;       7,000;       2,250;  0,00;  0,00;  0,00;        15,75;1;1;      0,0000;   0,0000;       2,250
