Code Tiers;Nom;CP;Ville;EAN;Ref;Désignation;Famille;sous-famille;Marque;Colis;Qte;BLqte;PUB;R1;R2;RQ;Montant;Code TVA;Code TPF;Taxe Soda;EcoTaxe;Prix Net
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999100499;LEG329                   ;BETTERAVE CHIOGGIA FRANCE, LE KG                                                ;01      ;1LEG    ;BETTERAV;     1;       5,000;       5,000;       1,860;  0,00;  0,00;  0,00;         9,30;1;1;      0,0000;   0,0000;       1,860
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990003794;LEG177                   ;BLETTE PIED FRANCE, LE KG                                                       ;01      ;1LEG    ;BLETTE  ;     1;       7,000;       7,000;       2,250;  0,00;  0,00;  0,00;        15,75;1;1;      0,0000;   0,0000;       2,250
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990004234;LEG185                   ;CAROTTE BOTTE FRANCE, LA PIECE                                                  ;01      ;1LEG    ;CAROTTE ;     2;      24,000;      24,000;       2,210;  0,00;  0,00;  0,00;        53,04;1;1;      0,0000;   0,0000;       2,210
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999103322;LEG578                   ;CHAMPIGNON BRUN *VRAC* PIED NON COUPE FRANCE, LE KG                             ;01      ;1LEG    ;CHAMPIGN;     5;      10,000;      10,000;       7,560;  0,00;  0,00;  0,00;        75,60;1;1;      0,0000;   0,0000;       7,560
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990001057;LEG099                   ;CHOUX BROCOLI FRANCE, LE KG                                                     ;01      ;1LEG    ;CHOUXBRO;     2;      10,000;      10,000;       4,620;  0,00;  0,00;  0,00;        46,20;1;1;      0,0000;   0,0000;       4,620
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999107191;LEG551                   ;CHOUX-FLEURS FRANCE, 11 PCES, LE COLIS                                          ;01      ;1LEG    ;CHOUXFL ;     1;       1,000;       1,000;      10,530;  0,00;  0,00;  0,00;        10,53;1;1;      0,0000;   0,0000;      10,530
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990000364;LEG030                   ;FENOUIL FRANCE, LE KG                                                           ;01      ;1LEG    ;FENOUIL ;     1;       7,000;       7,000;       4,280;  0,00;  0,00;  0,00;        29,96;1;1;      0,0000;   0,0000;       4,280
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990001552;LEG149                   ;OIGNON JAUNE FRANCE, CAL 40/60/80, LE KG                                        ;01      ;1LEG    ;OIGNON  ;     1;      10,000;      10,000;       1,440;  0,00;  0,00;  0,00;        14,40;1;1;      0,0000;   0,0000;       1,440
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999109263;LEG966                   ;P DE TERRE DE CONSOMMATION SAC (FERME), SAC 4 x2,5KG, LE KG                     ;01      ;1LEG    ;PDT     ;     2;       8,000;       8,000;       3,720;  0,00;  0,00;  0,00;        29,76;1;1;      0,0000;   0,0000;       3,720
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999110306;LEG345                   ;PATATE DOUCE FRANCE, CAL MOYEN/GROS, LE KG                                      ;01      ;1LEG    ;PDT     ;     2;      12,000;      12,000;       2,400;  0,00;  0,00;  0,00;        28,80;1;1;      0,0000;   0,0000;       2,400
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990000120;LEG005                   ;POIREAU FRANCE, 10KG, LE KG                                                     ;01      ;1LEG    ;POIREAU ;     1;      10,000;      10,000;       1,950;  0,00;  0,00;  0,00;        19,50;1;1;      0,0000;   0,0000;       1,950
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990004478;LEG301                   ;RADIS ROUGE TYPE ROUGE DE CHINE FRANCE, LE KG                                   ;01      ;1LEG    ;RADIS   ;     1;       5,000;       5,000;       2,250;  0,00;  0,00;  0,00;        11,25;1;1;      0,0000;   0,0000;       2,250
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999100451;LEG327                   ;SALADE CRESSON, LA BOTTE                                                        ;01      ;1LEG    ;AROMATIQ;     2;      12,000;      12,000;       2,920;  0,00;  0,00;  0,00;        35,04;1;1;      0,0000;   0,0000;       2,920
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999104459;FRI624                   ;AVOCAT HASS *VRAC* ESPAGNE, CAL 30/32, 6 KG, LE KG                              ;01      ;2FRU    ;AVOCAT  ;     2;      12,000;      12,000;       4,220;  0,00;  0,00;  0,00;        50,64;1;2;      0,0000;   0,0000;       4,220
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999102240;FRI511                   ;BANANE TOURNANT JAUNE COLO 4, LE KG                                             ;01      ;2FRU    ;BANANE  ;     2;      37,000;      37,000;       1,370;  0,00;  0,00;  0,00;        50,69;1;2;      0,0000;   0,0000;       1,370
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999107368;FRI849                   ;CITRON JAUNE ITALIE, CAL 3/4, LE KG                                             ;01      ;2FRU    ;CITRON  ;     2;      12,000;      12,000;       1,470;  0,00;  0,00;  0,00;        17,64;1;2;      0,0000;   0,0000;       1,470
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999109300;FRI635                   ;CLEMENTINE TYPE NULES ESPAGNE, CAL 2/3/4, LE KG                                 ;01      ;2FRU    ;CLEMENTI;     5;      30,000;      30,000;       1,900;  0,00;  0,00;  0,00;        57,00;1;2;      0,0000;   0,0000;       1,900
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999109485;FRI483                   ;KAKI PERSIMON/ROJO BRILLANTE ESPAGNE, CAL 16/22/24, LE KG                       ;01      ;2FRU    ;KAKI    ;     1;       5,150;       5,150;       3,760;  0,00;  0,00;  0,00;        19,36;1;2;      0,0000;   0,0000;       3,759
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999100543;FRI211                   ;KIWI HAYWARD *VRAC* FRANCE, CAL 25/27, LE KG                                    ;01      ;2FRU    ;KIWI    ;     2;      20,000;      20,000;       3,650;  0,00;  0,00;  0,00;        73,00;1;1;      0,0000;   0,0000;       3,650
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990002047;FRI025                   ;ORANGE A JUS ESPAGNE, CAL 6/7/8, LE KG                                          ;01      ;2FRU    ;ORANGE  ;     1;      10,000;      10,000;       1,110;  0,00;  0,00;  0,00;        11,10;1;2;      0,0000;   0,0000;       1,110
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999109966;FRI176                   ;ORANGE NAVEL WASHINGTON ITALIE, CAL 2/3/4, LE KG                                ;01      ;2FRU    ;ORANGE  ;     1;      10,000;      10,000;       1,480;  0,00;  0,00;  0,00;        14,80;1;2;      0,0000;   0,0000;       1,480
