Code Tiers;Nom;CP;Ville;EAN;Ref;Désignation;Famille;sous-famille;Marque;Colis;Qte;BLqte;PUB;R1;R2;RQ;Montant;Code TVA;Code TPF;Taxe Soda;EcoTaxe;Prix Net
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3562562200511;ARM033                   ;CREPES DE FROMENT DIAM 290 360G                                                 ;05      ;BISCREPE;DELICE  ;     1;       6,000;       6,000;       3,240;  8,00; 10,00;  0,00;        16,08;1;0;      0,0000;   0,0000;       2,680
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3701208210044;FLE003                   ;BEURRE DEMI SEL 250G                                                            ;05      ;BECREVAC;PREFLEUR;     1;      20,000;      20,000;       2,560;  8,00;  5,00;  0,00;        44,80;1;0;      0,0000;   0,0000;       2,240
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3770003351153;TBG002                   ;YAOURT BREBIS NATURE AU LAIT ENTIER 400G                                        ;05      ;YAOURBRE;TRADI   ;     2;      12,000;      12,000;       2,290;  8,00;  0,00;  0,00;        25,32;1;0;      0,0000;   0,0000;       2,110
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3273120027098;CEL382                   ;RIZ THAI 1/2 COMPLET POIS CHICHES ET POIS CASSES 500G                           ;03      ;MELVEG  ;CELNAT  ;     1;       6,000;       6,000;       2,640;  8,00;  0,00;  0,00;        14,58;1;0;      0,0000;   0,0000;       2,430
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3273120027104;CEL383                   ;EPEAUTRE LENTILLES CORAIL ET HARICOTS MUNGO 500G                                ;03      ;MELVEG  ;CELNAT  ;     1;       6,000;       6,000;       2,600;  8,00;  0,00;  0,00;        14,34;1;0;      0,0000;   0,0000;       2,390
