Code Tiers;Nom;CP;Ville;EAN;Ref;Désignation;Famille;sous-famille;Marque;Colis;Qte;BLqte;PUB;R1;R2;RQ;Montant;Code TVA;Code TPF;Taxe Soda;EcoTaxe;Prix Net
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3399581009319;PPC003                   ;PAPIER TOILETTE BLANC RECYCLE VRAC 600 FEUILLES - 130mm                         ;08      ;HYGADU  ;PAPECO  ;     5;     180,000;     180,000;       0,470;  8,00;  0,00;  0,00;        77,40;2;0;      0,0000;   0,0000;       0,430
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3701208210044;FLE003                   ;BEURRE DEMI SEL 250G                                                            ;05      ;BECREVAC;PREFLEUR;     1;      20,000;      20,000;       2,560;  8,00;  0,00;  0,00;        47,20;1;0;      0,0000;   0,0000;       2,360
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3701208210037;FLE004                   ;BEURRE DOUX 250G                                                                ;05      ;BECREVAC;PREFLEUR;     1;      20,000;      20,000;       2,560;  8,00;  0,00;  0,00;        47,20;1;0;      0,0000;   0,0000;       2,360
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3701208210020;FLE005                   ;CAMEMBERT 250G                                                                  ;05      ;FROAFVAC;PREFLEUR;     2;      12,000;      12,000;       2,560;  8,00;  5,00;  0,00;        26,88;1;0;      0,0000;   0,0000;       2,240
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3252920035533;GAL040                   ;CREME FRAICHE EPAISSE POT 20CL                                                  ;05      ;BECREVAC;LEGALL  ;     2;       6,000;       6,000;       1,560;  8,00;  0,00;  0,00;         8,64;1;0;      0,0000;   0,0000;       1,440
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3252920035564;GAL039                   ;CREME FRAICHE FLEURETTE 25CL                                                    ;05      ;BECREVAC;LEGALL  ;     1;       3,000;       3,000;       1,930;  8,00;  0,00;  0,00;         5,34;1;0;      0,0000;   0,0000;       1,780
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3562562200511;ARM033                   ;CREPES DE FROMENT DIAM 290 360G                                                 ;05      ;BISCREPE;DELICE  ;     1;       6,000;       6,000;       3,240;  8,00; 10,00;  0,00;        16,08;1;0;      0,0000;   0,0000;       2,680
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3562562200528;ARM034                   ;CREPES DE SARRASIN DIAM 290 360G                                                ;05      ;BISCREPE;DELICE  ;     1;       6,000;       6,000;       3,190;  8,00;  0,00;  0,00;        17,58;1;0;      0,0000;   0,0000;       2,930
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3440775770000;CHE002                   ;CROTTIN 2X60G                                                                   ;05      ;FROAFCHE;CHENE   ;     1;       6,000;       6,000;       3,990;  8,00;  0,00;  0,00;        22,02;1;0;      0,0000;   0,0000;       3,670
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3273220140727;TRA072                   ;DESSERT BREBIS CHOCOLAT 125G                                                    ;05      ;DESSEBRE;LABERGER;     3;      24,000;      24,000;       0,980;  8,00;  0,00;  0,00;        21,60;1;0;      0,0000;   0,0000;       0,900
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3335266002404;ROU010                   ;EMMENTHAL PORTION 240G LA PIECE                                                 ;05      ;FROAFVAC;ROUSSE  ;     1;       3,000;       3,000;       4,010;  8,00; 10,00;  0,00;         9,96;1;0;      0,0000;   0,0000;       3,320
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3335266102005;ROU108                   ;EMMENTHAL RAPE 200G                                                             ;05      ;FROAFVAC;ROUSSE  ;     5;      15,000;      15,000;       3,310;  8,00;  0,00;  0,00;        45,75;1;0;      0,0000;   0,0000;       3,050
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3259011169436;SOY242                   ;FALAFELS X15                                                                    ;05      ;PRECE   ;SOY     ;     1;       6,000;       6,000;       3,020;  8,00;  0,00;  0,00;        16,68;1;0;      0,0000;   0,0000;       2,780
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;4026913162280;OMA007                   ;FETA GRECO 180G                                                                 ;05      ;FROAFBRE;OMA     ;     2;       6,000;       6,000;       2,680;  8,00;  0,00;  0,00;        14,82;1;0;      0,0000;   0,0000;       2,470
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3444940000404;MER001                   ;FILETS DE HARENGS DOUX MSC 200G                                                 ;05      ;POISSON ;NATOCE  ;     1;       5,000;       5,000;       2,660;  8,00;  0,00;  0,00;        12,25;1;0;      0,0000;   0,0000;       2,450
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3273220141014;TRA107                   ;FROMAGE BLANC BREBIS 400G                                                       ;05      ;FROFRBRE;LABERGER;     1;       6,000;       6,000;       2,390;  8,00;  0,00;  0,00;        13,20;1;0;      0,0000;   0,0000;       2,200
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3273220141168;TRA012                   ;FROMAGE BLANC DE CHEVRE 400G                                                    ;05      ;FROFRCHE;LACHEVRE;     1;       6,000;       6,000;       2,660;  8,00;  0,00;  0,00;        14,70;1;0;      0,0000;   0,0000;       2,450
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3273220141861;TRA168                   ;FROMAGE DE BREBIS AFFINE 140G                                                   ;05      ;FROAFBRE;LABERGER;     3;      12,000;      12,000;       3,170;  8,00;  0,00;  0,00;        35,04;1;0;      0,0000;   0,0000;       2,920
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3273220141885;TRA029                   ;FROMAGE DE CHEVRE AFFINE 140G                                                   ;05      ;FROFRCHE;LACHEVRE;     3;      12,000;      12,000;       2,970;  8,00;  0,00;  0,00;        32,76;1;0;      0,0000;   0,0000;       2,730
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3472331122909;ESC014                   ;GALETTE EPINARDS/PIGNONS 2X90G                                                  ;05      ;PREESC  ;CEREAL  ;     1;       6,000;       6,000;       2,550;  8,00;  0,00;  0,00;        14,10;1;0;      0,0000;   0,0000;       2,350
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3259011240036;ESC064                   ;GALETTES GARNIES CHEVRE MIEL ET THYM 2X85G                                      ;05      ;PREESC  ;CEREAL  ;     1;       6,000;       6,000;       2,870;  8,00;  0,00;  0,00;        15,84;1;0;      0,0000;   0,0000;       2,640
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;4000915102871;BVD033                   ;HOUMOUS TAHINI 150G aux pois chiches et au sésame                               ;05      ;TAR     ;VERDE   ;     3;      12,000;      12,000;       1,960;  8,00;  0,00;  0,00;        21,60;1;0;      0,0000;   0,0000;       1,800
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3553070011713;BDL003                   ;L ENCALAT BREBIS 240G                                                           ;05      ;FROAFBRE;BERGERS ;     1;       4,000;       4,000;       5,790;  8,00;  0,00;  0,00;        21,32;1;0;      0,0000;   0,0000;       5,330
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;4260028360838;BRL001                   ;LEVURE FRAICHE EN CUBE BIO - 42G                                                ;05      ;LEVFRAIC;BIOREAL ;     1;      12,000;      12,000;       0,880;  8,00;  0,00;  0,00;         9,72;1;0;      0,0000;   0,0000;       0,810
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;4026913152854;OMA110                   ;MOZZARELLA DI BUFALA CAMPANA DOP 125G                                           ;05      ;FROAFVAC;OMA     ;     2;       6,000;       6,000;       2,350;  8,00;  0,00;  0,00;        12,96;1;0;      0,0000;   0,0000;       2,160
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3483461000258;TOF040                   ;PANISSE NATURE 2X125G                                                           ;05      ;PREPANIS;TOFOUL  ;     1;       6,000;       6,000;       2,050;  8,00;  0,00;  0,00;        11,34;1;0;      0,0000;   0,0000;       1,890
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3531150222044;ARM024                   ;PATE BRISEE PUR BEURRE  prête à dérouler  250G                                  ;05      ;PANPPRET;DELICE  ;     4;      24,000;      24,000;       2,170;  8,00;  0,00;  0,00;        48,00;1;0;      0,0000;   0,0000;       2,000
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3531150222020;ARM023                   ;PATE FEUILLETEE PUR BEURRE prête à dérouler 250G                                ;05      ;PANPPRET;DELICE  ;     4;      24,000;      24,000;       2,170;  8,00;  0,00;  0,00;        48,00;1;0;      0,0000;   0,0000;       2,000
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3335265220021;ROU106                   ;BRIE POINTE 200G                                                                ;05      ;FROAFVAC;ROUSSE  ;     2;       6,000;       6,000;       3,230;  8,00;  0,00;  0,00;        17,82;1;0;      0,0000;   0,0000;       2,970
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;4000915040098;BVD031                   ;PROSCUITTO CRUDO 80G (véritable jambon cru italien)                             ;05      ;VIACHARC;VERDE   ;     1;       6,000;       6,000;       5,500;  8,00;  0,00;  0,00;        30,36;1;0;      0,0000;   0,0000;       5,060
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3438860001528;GAB016                   ;RIZ AU LAIT TRADITION 2X130G                                                    ;05      ;DESSEVAC;GABORI  ;     3;       9,000;       9,000;       1,640;  8,00;  0,00;  0,00;        13,59;1;0;      0,0000;   0,0000;       1,510
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3177890001107;PAP002                   ;ROQUEFORT PART 100G                                                             ;05      ;FROAFBRE;PAPILL  ;     1;       6,000;       6,000;       2,930;  8,00;  0,00;  0,00;        16,20;1;0;      0,0000;   0,0000;       2,700
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3440775720005;CHE004                   ;SAINTE MAURE BLANCHE 180G                                                       ;05      ;FROAFCHE;CHENE   ;     1;       4,000;       4,000;       4,630;  8,00;  0,00;  0,00;        17,04;1;0;      0,0000;   0,0000;       4,260
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3273220183328;TRA062                   ;SOJADE MYRTILLE 400G                                                            ;05      ;DESSOJAD;SOJADE  ;     1;       6,000;       6,000;       2,360;  8,00;  0,00;  0,00;        13,02;1;0;      0,0000;   0,0000;       2,170
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3273227081023;TRA032                   ;SOJADE NATURE 400G                                                              ;05      ;DESSOJAD;SOJADE  ;     1;       6,000;       6,000;       1,360;  8,00;  0,00;  0,00;         7,50;1;0;      0,0000;   0,0000;       1,250
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3576560500009;SOJ007                   ;SOJAMI A TARTINER AIL FINES HERBES 125G                                         ;05      ;PREVT   ;SOJAMI  ;     1;       6,000;       6,000;       2,180;  8,00;  0,00;  0,00;        12,06;1;0;      0,0000;   0,0000;       2,010
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3259011105977;SOY053                   ;TOFOU SOYEUX 2X120G                                                             ;05      ;PREVT   ;SOY     ;     1;       6,000;       6,000;       1,730;  8,00;  0,00;  0,00;         9,54;1;0;      0,0000;   0,0000;       1,590
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3483460140207;TOF055                   ;TOFU FUME 2X100G                                                                ;05      ;PREVT   ;TOFOUL  ;     1;       6,000;       6,000;       2,990;  8,00;  0,00;  0,00;        16,50;1;0;      0,0000;   0,0000;       2,750
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3483460010258;TOF000                   ;TOFU NATURE 2X125G                                                              ;05      ;PREVT   ;TOFOUL  ;     1;       6,000;       6,000;       2,230;  8,00;  0,00;  0,00;        12,30;1;0;      0,0000;   0,0000;       2,050
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3273220141076;TRA144                   ;YAOURT BREBIS BRASSE NATURE  400G                                               ;05      ;YAOURBRE;LABERGER;     1;       6,000;       6,000;       2,310;  8,00;  0,00;  0,00;        12,78;1;0;      0,0000;   0,0000;       2,130
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3513610140273;TRA024                   ;YAOURT BREBIS CHATAIGNE 2X125G                                                  ;05      ;YAOURBRE;LABERGER;     1;       6,000;       6,000;       2,020;  8,00;  0,00;  0,00;        11,16;1;0;      0,0000;   0,0000;       1,860
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3770003351153;TBG002                   ;YAOURT BREBIS NATURE AU LAIT ENTIER 400G                                        ;05      ;YAOURBRE;TRADI   ;     1;       6,000;       6,000;       2,290;  8,00;  0,00;  0,00;        12,66;1;0;      0,0000;   0,0000;       2,110
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3770003351115;TBG003                   ;YAOURT BREBIS VANILLE 2X125G                                                    ;05      ;YAOURBRE;TRADI   ;     1;       6,000;       6,000;       1,700;  8,00;  0,00;  0,00;         9,36;1;0;      0,0000;   0,0000;       1,560
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;8428532230085;MIL049                   ;BOISSON AMANDE NATURE CALCIUM SANS SUCRE LITRE                                  ;03      ;BVGAMAND;ECOMIL  ;     1;       6,000;       6,000;       2,500;  8,00;  0,00;  0,00;        13,80;1;0;      0,0000;   0,0000;       2,300
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;8032625480327;TRP005                   ;BOISSON D' AVOINE NATURE LITRE                                                  ;03      ;BVGAVOIN;TERR    ;     1;      10,000;      10,000;       1,310;  8,00;  0,00;  0,00;        12,10;1;0;      0,0000;   0,0000;       1,210
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;8032625480259;TRP001                   ;BOISSON DE RIZ NATURE LITRE                                                     ;03      ;BVGRIZ  ;TERR    ;     1;      10,000;      10,000;       1,140;  8,00;  0,00;  0,00;        10,50;1;0;      0,0000;   0,0000;       1,050
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3700679606035;VBI004                   ;BRIOCHE TRANCHEE 400G                                                           ;03      ;PANPDMIE;BIEN    ;     1;       7,000;       7,000;       3,080;  8,00;  0,00;  0,00;        19,81;1;0;      0,0000;   0,0000;       2,830
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;8713576007411;TSN016                   ;CACAHUETES EN COQUE 330G                                                        ;03      ;3FRSEC  ;TERRAS  ;     1;       8,000;       8,000;       2,860;  8,00;  0,00;  0,00;        21,04;1;0;      0,0000;   0,0000;       2,630
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3701037403075;BHU004                   ;CORNICHONS AU VINAIGRE DE CIDRE - 72CL                                          ;03      ;CONDIM  ;BRAVOHUG;     1;       6,000;       6,000;       5,160;  8,00;  0,00;  0,00;        28,50;1;0;      0,0000;   0,0000;       4,750
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3329486485000;MKL264                   ;COUSCOUS 1/2 COMPLET 500G                                                       ;03      ;CERSEMOU;MARKAL  ;     1;       6,000;       6,000;       1,420;  8,00;  0,00;  0,00;         7,86;1;0;      0,0000;   0,0000;       1,310
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3329486241125;MKL047                   ;FARINE DE BLE T 80 1KG                                                          ;03      ;FARINE  ;MARKAL  ;     1;       6,000;       6,000;       1,800;  8,00;  0,00;  0,00;         9,96;1;0;      0,0000;   0,0000;       1,660
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3760294960011;ELI007                   ;PENNES BLANCHES 500G ELIBIO                                                     ;03      ;PATBL   ;ELIBIO  ;     1;      12,000;      12,000;       0,660;  0,00;  0,00;  0,00;         7,92;1;0;      0,0000;   0,0000;       0,660
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3760294960295;ELI032                   ;PETIT BEURRE 3X5 150G ELIBIO                                                    ;03      ;BISCUSEC;ELIBIO  ;     1;      12,000;      12,000;       0,850;  0,00;  0,00;  0,00;        10,20;1;0;      0,0000;   0,0000;       0,850
