Code Tiers;Nom;CP;Ville;EAN;Ref;Désignation;Famille;sous-famille;Marque;Colis;Qte;BLqte;PUB;R1;R2;RQ;Montant;Code TVA;Code TPF;Taxe Soda;EcoTaxe;Prix Net
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3701208210037;FLE004                   ;BEURRE DOUX 250G                                                                ;05      ;BECREVAC;PREFLEUR;     1;      20,000;      20,000;       2,560;  8,00;  0,00;  0,00;        47,20;1;0;      0,0000;   0,0000;       2,360
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3701208210020;FLE005                   ;CAMEMBERT 250G                                                                  ;05      ;FROAFVAC;PREFLEUR;     2;      12,000;      12,000;       2,560;  8,00;  5,00;  0,00;        26,88;1;0;      0,0000;   0,0000;       2,240
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3252920035533;GAL040                   ;CREME FRAICHE EPAISSE POT 20CL                                                  ;05      ;BECREVAC;LEGALL  ;     2;       6,000;       6,000;       1,560;  8,00;  0,00;  0,00;         8,64;1;0;      0,0000;   0,0000;       1,440
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3252920035564;GAL039                   ;CREME FRAICHE FLEURETTE 25CL                                                    ;05      ;BECREVAC;LEGALL  ;     1;       3,000;       3,000;       1,930;  8,00;  0,00;  0,00;         5,34;1;0;      0,0000;   0,0000;       1,780
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3562562200511;ARM033                   ;CREPES DE FROMENT DIAM 290 360G                                                 ;05      ;BISCREPE;DELICE  ;     1;       6,000;       6,000;       3,240;  8,00; 10,00;  0,00;        16,08;1;0;      0,0000;   0,0000;       2,680
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3562562200528;ARM034                   ;CREPES DE SARRASIN DIAM 290 360G                                                ;05      ;BISCREPE;DELICE  ;     1;       6,000;       6,000;       3,190;  8,00;  0,00;  0,00;        17,58;1;0;      0,0000;   0,0000;       2,930
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3440775770000;CHE002                   ;CROTTIN 2X60G                                                                   ;05      ;FROAFCHE;CHENE   ;     1;       6,000;       6,000;       3,990;  8,00;  0,00;  0,00;        22,02;1;0;      0,0000;   0,0000;       3,670
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3273220140727;TRA072                   ;DESSERT BREBIS CHOCOLAT 125G                                                    ;05      ;DESSEBRE;LABERGER;     3;      24,000;      24,000;       0,980;  8,00;  0,00;  0,00;        21,60;1;0;      0,0000;   0,0000;       0,900
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3335266002404;ROU010                   ;EMMENTHAL PORTION 240G LA PIECE                                                 ;05      ;FROAFVAC;ROUSSE  ;     1;       3,000;       3,000;       4,010;  8,00; 10,00;  0,00;         9,96;1;0;      0,0000;   0,0000;       3,320
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3335266102005;ROU108                   ;EMMENTHAL RAPE 200G                                                             ;05      ;FROAFVAC;ROUSSE  ;     5;      15,000;      15,000;       3,310;  8,00;  0,00;  0,00;        45,75;1;0;      0,0000;   0,0000;       3,050
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3259011169436;SOY242                   ;FALAFELS X15                                                                    ;05      ;PRECE   ;SOY     ;     1;       6,000;       6,000;       3,020;  8,00;  0,00;  0,00;        16,68;1;0;      0,0000;   0,0000;       2,780
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;4026913162280;OMA007                   ;FETA GRECO 180G                                                                 ;05      ;FROAFBRE;OMA     ;     2;       6,000;       6,000;       2,680;  8,00;  0,00;  0,00;        14,82;1;0;      0,0000;   0,0000;       2,470
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3273220141014;TRA107                   ;FROMAGE BLANC BREBIS 400G                                                       ;05      ;FROFRBRE;LABERGER;     1;       6,000;       6,000;       2,390;  8,00;  0,00;  0,00;        13,20;1;0;      0,0000;   0,0000;       2,200
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3553070011713;BDL003                   ;L ENCALAT BREBIS 240G                                                           ;05      ;FROAFBRE;BERGERS ;     1;       4,000;       4,000;       5,790;  8,00;  0,00;  0,00;        21,32;1;0;      0,0000;   0,0000;       5,330
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;4260028360838;BRL001                   ;LEVURE FRAICHE EN CUBE BIO - 42G                                                ;05      ;LEVFRAIC;BIOREAL ;     1;      12,000;      12,000;       0,880;  8,00;  0,00;  0,00;         9,72;1;0;      0,0000;   0,0000;       0,810
